J1,J2,J3
-0.198859,0.951566,-1.021131
0.202217,0.949731,-1.019167
0.522356,0.555408,-0.596614
0.629712,-0.063535,0.068358
0.474984,-0.648040,0.698317
0.118397,-0.958642,1.033880
-0.289454,-0.869242,0.937238
-0.573425,-0.414291,0.446156
-0.614037,0.222144,-0.238830
-0.397846,0.774346,-0.831329
-0.017149,1.003670,-1.076902
0.371030,0.807746,-0.867114
0.605814,0.271766,-0.292143
0.585219,-0.371948,0.400511
0.312412,-0.850352,0.916824
-0.097563,-0.964106,1.039789
-0.464998,-0.665084,0.716717
-0.629211,-0.075573,0.081312
-0.522049,0.556135,-0.597394
-0.192904,0.954737,-1.024526
0.217885,0.940714,-1.009513
0.537055,0.518944,-0.557497
0.626367,-0.122279,0.131582
0.441673,-0.701902,0.756468
0.059743,-0.971281,1.047547
-0.349530,-0.815617,0.879291
-0.602025,-0.299086,0.321992
-0.587362,0.357947,-0.384699
-0.315959,0.865865,-0.929367
0.092232,0.992979,-1.065461
0.461065,0.679017,-0.729163
0.629085,0.067612,-0.072720
0.517302,-0.565208,0.608925
0.170378,-0.940168,1.013906
-0.255362,-0.893970,0.963965
-0.563854,-0.445043,0.479312
-0.615513,0.211982,-0.227911
-0.391031,0.783184,-0.840799
0.006806,1.003991,-1.077246
0.402066,0.768746,-0.825329
0.618802,0.187340,-0.201430
0.555171,-0.470742,0.507024
0.234351,-0.907362,0.978441
-0.196987,-0.927927,1.000672
-0.535885,-0.521915,0.562218
-0.624778,0.131319,-0.141217
-0.426553,0.734242,-0.788356
-0.034829,1.002479,-1.075628
0.373013,0.805400,-0.864600
0.611766,0.236923,-0.254710
0.567646,-0.433192,0.466533
0.255108,-0.894140,0.964149
-0.180265,-0.935846,1.009233
-0.529208,-0.538067,0.579642
-0.625758,0.119723,-0.128751
-0.428360,0.731552,-0.785472
-0.032382,1.002692,-1.075856
0.378927,0.798286,-0.856980
0.614660,0.217912,-0.234283
0.559830,-0.457189,0.492409
0.234351,-0.907362,0.978441
-0.206474,-0.923087,0.995440
-0.546129,-0.495643,0.533880
-0.619997,0.177538,-0.190896
-0.396786,0.775737,-0.832820
0.014155,1.003791,-1.077032
0.418852,0.745477,-0.800396
0.624929,0.129602,-0.139371
0.528453,-0.539849,0.581564
0.170378,-0.940168,1.013906
-0.273534,-0.881266,0.950234
-0.580572,-0.389309,0.419224
-0.599843,0.302556,-0.325214
-0.326518,0.855718,-0.918499
0.104335,0.989863,-1.062125
0.485438,0.634429,-0.681360
0.630616,-0.029507,0.031744
0.462554,-0.669132,0.721087
0.059743,-0.971281,1.047547
-0.374096,-0.789479,0.851053
-0.617114,-0.209571,0.225568
-0.549295,0.485742,-0.521873
-0.209170,0.945823,-1.014983
0.233909,0.930701,-0.998794
0.562360,0.446788,-0.480069
0.610183,-0.255049,0.274550
0.346518,-0.818641,0.882559
-0.097563,-0.964106,1.039789
-0.491025,-0.618824,0.666782
-0.629862,0.048625,-0.052301
-0.447036,0.702485,-0.754319
-0.039177,1.002062,-1.075181
0.388671,0.786188,-0.844017
0.620986,0.169002,-0.181722
0.534419,-0.525522,0.566109
0.167162,-0.941517,1.015364
-0.289454,-0.869242,0.937238
-0.592353,-0.343231,0.369561
-0.584003,0.371316,-0.399054
-0.273809,0.902131,-0.968204
0.176498,0.962930,-1.033296
0.537055,0.518944,-0.557497
0.619618,-0.190216,0.204725
0.374096,-0.789479,0.851053
-0.073579,-0.969062,1.045148
-0.481670,-0.636149,0.685482
-0.630126,0.040422,-0.043479
-0.444136,0.707155,-0.759324
-0.025855,1.003185,-1.076383
0.406257,0.763088,-0.819266
