J1,J2,J3
-0.012661,-1.589910,-1.256988
0.482774,-1.467392,-1.162786
0.901675,-1.105687,-0.885089
1.176036,-0.561381,-0.468367
1.260589,0.078794,0.019967
1.140422,0.711471,0.500692
0.833826,1.233199,0.895705
0.389844,1.557452,1.140566
-0.119273,1.629324,1.194773
-0.609676,1.435282,1.048366
-0.999771,1.006080,0.723904
-1.223920,0.412139,0.273485
-1.243626,-0.247889,-0.228990
-1.054319,-0.863443,-0.699454
-0.686611,-1.330521,-1.057631
-0.201702,-1.569274,-1.241117
0.318535,-1.537808,-1.216919
0.785303,-1.239824,-0.988000
1.118130,-0.724651,-0.593220
1.258888,-0.079496,-0.100600
1.182097,0.584941,0.404701
0.899749,1.153247,0.835254
0.459799,1.525383,1.116370
-0.061628,1.634635,1.198778
-0.573217,1.460079,1.067085
-0.984479,1.031023,0.742783
-1.221897,0.422380,0.281265
-1.242219,-0.258289,-0.236925
-1.040521,-0.889719,-0.719576
-0.651620,-1.358484,-1.079107
-0.144455,-1.579398,-1.248903
0.389844,-1.511164,-1.196434
0.854275,-1.164415,-0.930135
1.163696,-0.600525,-0.498289
1.260589,0.078794,0.019967
1.125924,0.749445,0.529485
0.783147,1.287429,0.936691
0.294507,1.591902,1.166552
-0.249899,1.604534,1.176079
-0.748603,1.321246,0.962242
-1.107771,0.793736,0.563061
-1.259024,0.120277,0.051544
-1.172621,-0.572513,-0.476876
-0.863546,-1.153406,-0.921690
-0.389320,-1.511381,-1.196601
0.160302,-1.576937,-1.247010
0.680134,-1.335852,-1.061725
1.069756,-0.832655,-0.675880
1.253083,-0.162905,-0.164178
1.193390,0.544483,0.373992
0.900905,1.151738,0.834112
0.431478,1.539085,1.126708
-0.123656,1.628781,1.194364
-0.655386,1.401337,1.022736
-1.058229,0.900254,0.643771
-1.251433,0.223997,0.130462
-1.195337,-0.493263,-0.416314
-0.899749,-1.108197,-0.887014
-0.422673,-1.496906,-1.185472
0.140627,-1.579954,-1.249331
0.676422,-1.338875,-1.064047
1.075547,-0.820695,-0.666724
1.255832,-0.129309,-0.138565
1.179191,0.594830,0.412206
0.859928,1.202910,0.872807
0.362524,1.568388,1.148815
-0.210934,1.613810,1.183074
-0.741497,1.327908,0.967275
-1.118130,0.768871,0.544213
-1.261144,0.052759,0.000145
-1.139244,-0.670523,-0.551815
-0.776659,-1.248528,-0.994681
-0.248819,-1.558356,-1.232720
0.332893,-1.532909,-1.213152
0.844510,-1.175775,-0.938851
1.176036,-0.561381,-0.468367
1.255304,0.179922,0.096933
1.063884,0.888993,0.635241
0.641696,1.411849,1.030674
0.079215,1.633375,1.197828
-0.501526,1.503348,1.099742
-0.973373,1.048524,0.756028
-1.232078,0.367576,0.239624
-1.219541,-0.390191,-0.337592
-0.937085,-1.057515,-0.848153
-0.445928,-1.486018,-1.177103
0.145549,-1.579237,-1.248779
0.705431,-1.314620,-1.045421
1.107771,-0.749472,-0.612212
1.261144,-0.009179,-0.047025
1.129621,0.739997,0.522322
0.741497,1.327908,0.967275
0.183750,1.619327,1.187235
-0.416963,1.545725,1.131718
-0.922957,1.122183,0.811758
-1.217262,0.444849,0.298334
-1.230888,-0.330728,-0.292200
-0.959223,-1.025277,-0.823440
-0.463897,-1.477148,-1.170285
0.140627,-1.579954,-1.249331
0.713168,-1.307902,-1.040262
1.118893,-0.722780,-0.591789
1.261301,0.039386,-0.010038
1.105394,0.799299,0.567277
0.686611,1.376208,1.003759
0.103372,1.631129,1.196134
-0.505564,1.501096,1.098043
-0.994039,1.015548,0.731070
-1.243809,0.290163,0.180780
-1.193390,-0.500590,-0.421912
-0.853465,-1.165367,-0.930865
-0.305201,-1.542151,-1.220259
0.318535,-1.537808,-1.216919
0.865149,-1.151479,-0.920212
1.199829,-0.475898,-0.403048
1.239041,0.324120,0.206595
0.971620,1.051241,0.758084
0.462361,1.524094,1.115398
-0.163031,1.623010,1.190012
-0.748603,1.321246,0.962242
-1.147150,0.692947,0.486643
-1.257489,-0.104769,-0.119860
